id,name,age,salary,hire_date,profile,department,bonus
1,Name_103,77.0,60000,2023-04-11,"{""address"": ""Street 83, City 30"", ""phone"": ""4767044916"", ""email"": ""email_239@example.com""}",Marketing,8900.0
2,Name_436,62.0,50000,2025-06-27,"{""address"": ""Street 34, City 28"", ""phone"": ""3371504671"", ""email"": ""email_122@example.com""}",Marketing,5894.0
3,Name_861,61.0,60000,2020-06-01,"{""address"": ""Street 38, City 9"", ""phone"": ""2762458857"", ""email"": ""email_425@example.com""}",HR,9889.0
4,Name_271,36.0,70000,2020-03-25,"{""address"": ""Street 64, City 39"", ""phone"": ""3765042047"", ""email"": ""email_747@example.com""}",,
5,Name_107,78.0,60000,2023-10-17,"{""address"": ""Street 37, City 11"", ""phone"": ""3318065628"", ""email"": ""email_441@example.com""}",IT,7442.0
6,Name_72,35.0,,2017-05-25,"{""address"": ""Street 79, City 33"", ""phone"": ""5973801865"", ""email"": ""email_607@example.com""}",IT,6106.0
7,Name_701,73.0,60000,2017-10-26,"{""address"": ""Street 91, City 41"", ""phone"": ""1651433312"", ""email"": ""email_477@example.com""}",Finance,3370.0
8,Name_21,18.0,60000,2018-12-04,"{""address"": ""Street 31, City 44"", ""phone"": ""1229247184"", ""email"": ""email_562@example.com""}",IT,
9,Name_615,42.0,50000,2021-05-10,"{""address"": ""Street 98, City 1"", ""phone"": ""2227084993"", ""email"": ""email_443@example.com""}",IT,4540.0
10,Name_122,44.0,50000,,"{""address"": ""Street 26, City 34"", ""phone"": ""8655380992"", ""email"": ""email_737@example.com""}",HR,2319.0
11,Name_467,24.0,70000,2018-01-31,"{""address"": ""Street 22, City 38"", ""phone"": ""4685546220"", ""email"": ""email_798@example.com""}",Finance,8527.0
12,Name_215,61.0,,,"{""address"": ""Street 71, City 25"", ""phone"": ""8457587566"", ""email"": ""email_387@example.com""}",IT,8786.0
13,Name_331,59.0,70000,2025-05-05,"{""address"": ""Street 74, City 12"", ""phone"": ""4483007619"", ""email"": ""email_394@example.com""}",IT,2969.0
14,Name_459,46.0,,2023-06-30,"{""address"": ""Street 8, City 33"", ""phone"": ""3544855897"", ""email"": ""email_351@example.com""}",,4387.0
15,Name_88,48.0,,2019-12-30,"{""address"": ""Street 73, City 11"", ""phone"": ""2095995799"", ""email"": ""email_661@example.com""}",IT,7048.0
16,Name_373,61.0,,2020-05-19,"{""address"": ""Street 67, City 38"", ""phone"": ""3913354763"", ""email"": ""email_877@example.com""}",HR,8852.0
17,Name_100,60.0,60000,2016-10-23,"{""address"": ""Street 24, City 30"", ""phone"": ""1672297479"", ""email"": ""email_469@example.com""}",IT,3611.0
18,Name_872,53.0,60000,2022-06-12,"{""address"": ""Street 82, City 25"", ""phone"": ""8761243386"", ""email"": ""email_999@example.com""}",IT,4161.0
19,Name_664,36.0,50000,2023-12-15,"{""address"": ""Street 53, City 32"", ""phone"": ""9820013669"", ""email"": ""email_976@example.com""}",Marketing,5185.0
20,Name_131,23.0,70000,2018-06-06,,IT,8795.0
21,Name_662,42.0,60000,2021-06-27,"{""address"": ""Street 80, City 46"", ""phone"": ""5197794898"", ""email"": ""email_138@example.com""}",Finance,
22,Name_309,48.0,70000,2024-06-23,"{""address"": ""Street 11, City 20"", ""phone"": ""6579505055"", ""email"": ""email_647@example.com""}",Marketing,1150.0
23,Name_770,26.0,60000,2017-02-16,"{""address"": ""Street 99, City 49"", ""phone"": ""2681484008"", ""email"": ""email_945@example.com""}",Finance,
24,Name_344,37.0,70000,2020-10-06,"{""address"": ""Street 28, City 15"", ""phone"": ""7157427150"", ""email"": ""email_683@example.com""}",Finance,4709.0
25,Name_492,27.0,,2025-04-25,"{""address"": ""Street 18, City 2"", ""phone"": ""9121958957"", ""email"": ""email_420@example.com""}",HR,1977.0
26,Name_414,54.0,,2017-05-06,"{""address"": ""Street 64, City 18"", ""phone"": ""9996593352"", ""email"": ""email_431@example.com""}",IT,9646.0
27,Name_806,44.0,60000,2021-10-20,"{""address"": ""Street 92, City 43"", ""phone"": ""5707182373"", ""email"": ""email_374@example.com""}",Finance,5070.0
28,Name_386,30.0,70000,2016-06-12,"{""address"": ""Street 30, City 43"", ""phone"": ""7180895099"", ""email"": ""email_861@example.com""}",IT,9517.0
29,Name_192,58.0,70000,2017-07-22,"{""address"": ""Street 5, City 43"", ""phone"": ""5139072624"", ""email"": ""email_634@example.com""}",IT,8173.0
30,Name_956,19.0,,2022-03-18,"{""address"": ""Street 59, City 37"", ""phone"": ""8510848331"", ""email"": ""email_646@example.com""}",HR,4879.0
31,Name_277,67.0,70000,2020-09-10,"{""address"": ""Street 57, City 16"", ""phone"": ""1513992728"", ""email"": ""email_392@example.com""}",HR,1634.0
32,Name_161,38.0,50000,2018-02-22,"{""address"": ""Street 94, City 18"", ""phone"": ""4236910616"", ""email"": ""email_177@example.com""}",Finance,3984.0
33,Name_460,50.0,70000,2016-05-21,"{""address"": ""Street 59, City 48"", ""phone"": ""1638130803"", ""email"": ""email_170@example.com""}",Finance,4946.0
34,Name_314,41.0,,2025-05-08,"{""address"": ""Street 71, City 28"", ""phone"": ""2928403772"", ""email"": ""email_95@example.com""}",Marketing,7806.0
35,Name_22,70.0,50000,2023-05-24,,IT,9466.0
36,Name_253,61.0,50000,2024-03-18,"{""address"": ""Street 23, City 50"", ""phone"": ""5094201452"", ""email"": ""email_706@example.com""}",IT,7982.0
37,Name_748,59.0,70000,,"{""address"": ""Street 36, City 44"", ""phone"": ""3132528243"", ""email"": ""email_460@example.com""}",HR,8277.0
38,Name_857,51.0,,2021-10-12,"{""address"": ""Street 41, City 40"", ""phone"": ""3529879264"", ""email"": ""email_603@example.com""}",HR,9697.0
39,Name_561,77.0,,2017-10-25,"{""address"": ""Street 69, City 6"", ""phone"": ""5092257508"", ""email"": ""email_23@example.com""}",Finance,7892.0
40,Name_475,26.0,,2019-03-06,"{""address"": ""Street 87, City 5"", ""phone"": ""2576227936"", ""email"": ""email_889@example.com""}",Marketing,2794.0
41,Name_59,19.0,50000,,"{""address"": ""Street 24, City 15"", ""phone"": ""4725490122"", ""email"": ""email_487@example.com""}",Marketing,8459.0
42,Name_511,72.0,,2021-10-02,"{""address"": ""Street 99, City 15"", ""phone"": ""9833644937"", ""email"": ""email_551@example.com""}",HR,7270.0
43,Name_682,73.0,50000,2017-08-16,,HR,6478.0
44,Name_476,47.0,,2019-09-17,"{""address"": ""Street 92, City 21"", ""phone"": ""8266208433"", ""email"": ""email_823@example.com""}",Marketing,3350.0
45,Name_700,,60000,2023-05-02,"{""address"": ""Street 42, City 12"", ""phone"": ""7575072805"", ""email"": ""email_420@example.com""}",Marketing,4810.0
46,Name_976,63.0,70000,2026-01-01,"{""address"": ""Street 90, City 3"", ""phone"": ""9750048266"", ""email"": ""email_687@example.com""}",Finance,4110.0
47,Name_783,28.0,,2018-04-28,,Marketing,4566.0
48,Name_190,72.0,50000,,"{""address"": ""Street 61, City 31"", ""phone"": ""4430278922"", ""email"": ""email_83@example.com""}",IT,5158.0
49,Name_958,60.0,70000,,"{""address"": ""Street 94, City 4"", ""phone"": ""5756957330"", ""email"": ""email_850@example.com""}",Marketing,7329.0
50,Name_687,34.0,50000,2024-05-12,"{""address"": ""Street 39, City 17"", ""phone"": ""4851654327"", ""email"": ""email_118@example.com""}",,
51,Name_958,53.0,70000,2016-09-11,"{""address"": ""Street 74, City 28"", ""phone"": ""4135806269"", ""email"": ""email_535@example.com""}",Marketing,3892.0
52,Name_563,30.0,50000,2021-02-24,"{""address"": ""Street 96, City 42"", ""phone"": ""4111870153"", ""email"": ""email_390@example.com""}",HR,8391.0
53,Name_876,24.0,,2024-03-05,"{""address"": ""Street 36, City 38"", ""phone"": ""1093471874"", ""email"": ""email_373@example.com""}",HR,
54,Name_567,33.0,60000,2026-03-23,"{""address"": ""Street 6, City 14"", ""phone"": ""6009527334"", ""email"": ""email_476@example.com""}",,
55,Name_244,50.0,60000,2025-10-20,"{""address"": ""Street 16, City 43"", ""phone"": ""4878059083"", ""email"": ""email_907@example.com""}",IT,6829.0
56,Name_832,62.0,60000,2020-09-07,"{""address"": ""Street 92, City 28"", ""phone"": ""6059610517"", ""email"": ""email_650@example.com""}",Marketing,4028.0
57,Name_505,18.0,,2026-04-08,"{""address"": ""Street 57, City 5"", ""phone"": ""9988046762"", ""email"": ""email_810@example.com""}",Marketing,8747.0
58,Name_131,28.0,70000,2025-03-29,"{""address"": ""Street 12, City 6"", ""phone"": ""3747314952"", ""email"": ""email_950@example.com""}",,1189.0
59,Name_485,23.0,,2023-04-04,"{""address"": ""Street 62, City 16"", ""phone"": ""6693860636"", ""email"": ""email_808@example.com""}",Finance,7794.0
60,Name_819,37.0,,2021-05-21,"{""address"": ""Street 32, City 42"", ""phone"": ""3714665642"", ""email"": ""email_139@example.com""}",Finance,1597.0
61,Name_647,52.0,50000,2022-10-03,"{""address"": ""Street 55, City 30"", ""phone"": ""3836901758"", ""email"": ""email_164@example.com""}",IT,6347.0
62,Name_21,61.0,60000,,"{""address"": ""Street 6, City 29"", ""phone"": ""4453454550"", ""email"": ""email_792@example.com""}",Marketing,1026.0
63,Name_841,54.0,50000,2018-07-08,"{""address"": ""Street 17, City 7"", ""phone"": ""8025189595"", ""email"": ""email_75@example.com""}",Marketing,6300.0
64,Name_167,58.0,70000,2024-03-22,"{""address"": ""Street 24, City 10"", ""phone"": ""4641549185"", ""email"": ""email_563@example.com""}",Marketing,3573.0
65,Name_274,43.0,60000,2019-01-18,"{""address"": ""Street 53, City 4"", ""phone"": ""7819020156"", ""email"": ""email_479@example.com""}",HR,3489.0
66,Name_388,75.0,50000,2026-03-26,"{""address"": ""Street 91, City 48"", ""phone"": ""9657387814"", ""email"": ""email_858@example.com""}",Finance,5013.0
67,Name_601,29.0,70000,2021-07-06,"{""address"": ""Street 96, City 27"", ""phone"": ""7307096669"", ""email"": ""email_150@example.com""}",,4649.0
68,Name_316,79.0,60000,2016-12-03,"{""address"": ""Street 66, City 22"", ""phone"": ""1680105930"", ""email"": ""email_885@example.com""}",HR,3884.0
69,Name_14,47.0,,2022-10-25,"{""address"": ""Street 54, City 10"", ""phone"": ""4908223924"", ""email"": ""email_355@example.com""}",HR,
70,Name_242,45.0,70000,2023-04-29,"{""address"": ""Street 100, City 13"", ""phone"": ""6299925128"", ""email"": ""email_422@example.com""}",Finance,1238.0
71,Name_777,44.0,,2022-02-12,"{""address"": ""Street 69, City 4"", ""phone"": ""6642207518"", ""email"": ""email_910@example.com""}",Marketing,1709.0
72,Name_346,59.0,70000,,"{""address"": ""Street 51, City 37"", ""phone"": ""8713573564"", ""email"": ""email_662@example.com""}",IT,1533.0
73,Name_565,36.0,60000,2026-01-23,"{""address"": ""Street 96, City 30"", ""phone"": ""1146788696"", ""email"": ""email_392@example.com""}",,7659.0
74,Name_898,22.0,50000,2020-11-17,"{""address"": ""Street 83, City 31"", ""phone"": ""1451285527"", ""email"": ""email_679@example.com""}",Finance,7487.0
75,Name_340,75.0,50000,2018-04-13,"{""address"": ""Street 83, City 26"", ""phone"": ""4935093082"", ""email"": ""email_238@example.com""}",IT,5361.0
76,Name_92,22.0,50000,2023-05-30,"{""address"": ""Street 75, City 27"", ""phone"": ""6839764832"", ""email"": ""email_887@example.com""}",Finance,7619.0
77,Name_367,58.0,50000,2024-07-07,"{""address"": ""Street 75, City 15"", ""phone"": ""3260318705"", ""email"": ""email_48@example.com""}",Finance,9985.0
78,Name_956,44.0,70000,2016-05-06,"{""address"": ""Street 68, City 46"", ""phone"": ""9301976602"", ""email"": ""email_83@example.com""}",Finance,2937.0
