id,name,age,salary,hire_date,profile,department,bonus
1,Name_103,77.0,60000,2017-12-09,"{""address"": ""Street 76, City 21"", ""phone"": ""7995306509"", ""email"": ""email_684@example.com""}",Marketing,7412.0
2,Name_436,62.0,50000,2019-02-02,"{""address"": ""Street 59, City 3"", ""phone"": ""4559651290"", ""email"": ""email_727@example.com""}",Marketing,8602.0
3,Name_861,61.0,60000,2025-02-19,"{""address"": ""Street 63, City 29"", ""phone"": ""1524310744"", ""email"": ""email_355@example.com""}",HR,1366.0
4,Name_271,36.0,70000,2020-09-25,,,5467.0
5,Name_107,78.0,60000,2016-07-14,"{""address"": ""Street 31, City 41"", ""phone"": ""1873508740"", ""email"": ""email_805@example.com""}",IT,8498.0
6,Name_72,35.0,,2024-09-19,"{""address"": ""Street 56, City 49"", ""phone"": ""7136998853"", ""email"": ""email_951@example.com""}",IT,
7,Name_701,73.0,60000,,"{""address"": ""Street 48, City 38"", ""phone"": ""1383836464"", ""email"": ""email_426@example.com""}",Finance,3247.0
8,Name_21,18.0,60000,2025-01-31,"{""address"": ""Street 15, City 2"", ""phone"": ""4200687939"", ""email"": ""email_725@example.com""}",IT,8028.0
9,Name_615,42.0,50000,2019-08-17,"{""address"": ""Street 5, City 28"", ""phone"": ""2764387796"", ""email"": ""email_568@example.com""}",IT,1055.0
10,Name_122,44.0,50000,2021-11-22,"{""address"": ""Street 19, City 1"", ""phone"": ""5160725572"", ""email"": ""email_791@example.com""}",HR,4767.0
11,Name_467,24.0,70000,2024-04-29,"{""address"": ""Street 15, City 1"", ""phone"": ""5589958038"", ""email"": ""email_148@example.com""}",Finance,4722.0
12,Name_215,61.0,,2022-02-18,"{""address"": ""Street 36, City 9"", ""phone"": ""9658251835"", ""email"": ""email_218@example.com""}",IT,5081.0
13,Name_331,59.0,70000,2022-04-04,"{""address"": ""Street 89, City 5"", ""phone"": ""1118722818"", ""email"": ""email_596@example.com""}",IT,9444.0
14,Name_459,46.0,,2025-02-13,"{""address"": ""Street 72, City 14"", ""phone"": ""2170320421"", ""email"": ""email_685@example.com""}",,1850.0
15,Name_88,48.0,,,"{""address"": ""Street 20, City 31"", ""phone"": ""5509365123"", ""email"": ""email_605@example.com""}",IT,1639.0
16,Name_373,61.0,,2016-10-24,"{""address"": ""Street 36, City 35"", ""phone"": ""5802768916"", ""email"": ""email_713@example.com""}",HR,5901.0
17,Name_100,60.0,60000,2021-12-22,"{""address"": ""Street 7, City 33"", ""phone"": ""7791683618"", ""email"": ""email_215@example.com""}",IT,
18,Name_872,53.0,60000,2019-11-15,"{""address"": ""Street 96, City 44"", ""phone"": ""9783234117"", ""email"": ""email_793@example.com""}",IT,1479.0
19,Name_664,36.0,50000,,"{""address"": ""Street 33, City 4"", ""phone"": ""2434831655"", ""email"": ""email_584@example.com""}",Marketing,7545.0
20,Name_131,23.0,70000,2021-09-05,"{""address"": ""Street 49, City 29"", ""phone"": ""4550504241"", ""email"": ""email_631@example.com""}",IT,3425.0
21,Name_662,42.0,60000,2023-03-07,"{""address"": ""Street 52, City 9"", ""phone"": ""7892669618"", ""email"": ""email_588@example.com""}",Finance,4298.0
22,Name_309,48.0,70000,2024-02-17,"{""address"": ""Street 45, City 24"", ""phone"": ""1384657117"", ""email"": ""email_631@example.com""}",Marketing,
23,Name_770,26.0,60000,,,Finance,6502.0
24,Name_344,37.0,70000,2017-10-17,"{""address"": ""Street 11, City 18"", ""phone"": ""7086908874"", ""email"": ""email_223@example.com""}",Finance,9384.0
25,Name_492,27.0,,2017-08-12,"{""address"": ""Street 82, City 6"", ""phone"": ""3240222601"", ""email"": ""email_179@example.com""}",HR,8183.0
26,Name_414,54.0,,2021-10-12,"{""address"": ""Street 77, City 14"", ""phone"": ""7655167558"", ""email"": ""email_454@example.com""}",IT,
27,Name_806,44.0,60000,2020-03-16,,Finance,6601.0
28,Name_386,30.0,70000,2016-11-16,"{""address"": ""Street 53, City 10"", ""phone"": ""1835119026"", ""email"": ""email_676@example.com""}",IT,9875.0
29,Name_192,58.0,70000,,"{""address"": ""Street 7, City 28"", ""phone"": ""2994169211"", ""email"": ""email_865@example.com""}",IT,2444.0
30,Name_956,19.0,,2019-03-28,"{""address"": ""Street 33, City 4"", ""phone"": ""6247458460"", ""email"": ""email_314@example.com""}",HR,
31,Name_277,67.0,70000,2022-08-13,"{""address"": ""Street 96, City 43"", ""phone"": ""5373116059"", ""email"": ""email_788@example.com""}",HR,4192.0
32,Name_161,38.0,50000,2022-07-21,,Finance,4575.0
33,Name_460,50.0,70000,2023-04-26,"{""address"": ""Street 75, City 39"", ""phone"": ""4277704951"", ""email"": ""email_240@example.com""}",Finance,8348.0
34,Name_314,41.0,,2022-12-04,"{""address"": ""Street 27, City 36"", ""phone"": ""6596365299"", ""email"": ""email_554@example.com""}",Marketing,9427.0
35,Name_22,70.0,50000,2016-05-29,"{""address"": ""Street 40, City 16"", ""phone"": ""5386052079"", ""email"": ""email_78@example.com""}",IT,7356.0
36,Name_253,61.0,50000,2025-05-05,"{""address"": ""Street 98, City 49"", ""phone"": ""4108328568"", ""email"": ""email_828@example.com""}",IT,8414.0
37,Name_748,59.0,70000,2020-03-19,"{""address"": ""Street 72, City 13"", ""phone"": ""7007358196"", ""email"": ""email_443@example.com""}",HR,1138.0
38,Name_857,51.0,,2025-10-07,"{""address"": ""Street 80, City 12"", ""phone"": ""9686019400"", ""email"": ""email_854@example.com""}",HR,7266.0
39,Name_561,77.0,,2021-03-11,"{""address"": ""Street 71, City 2"", ""phone"": ""6897876333"", ""email"": ""email_988@example.com""}",Finance,4572.0
40,Name_475,26.0,,2025-11-29,"{""address"": ""Street 50, City 34"", ""phone"": ""6841387686"", ""email"": ""email_170@example.com""}",Marketing,2774.0
41,Name_59,19.0,50000,2022-03-17,"{""address"": ""Street 78, City 24"", ""phone"": ""9676695015"", ""email"": ""email_662@example.com""}",Marketing,1299.0
42,Name_511,72.0,,2017-10-14,"{""address"": ""Street 77, City 28"", ""phone"": ""1783037595"", ""email"": ""email_118@example.com""}",HR,6394.0
43,Name_682,73.0,50000,2022-10-13,"{""address"": ""Street 52, City 10"", ""phone"": ""4502518256"", ""email"": ""email_594@example.com""}",HR,2876.0
44,Name_476,47.0,,2019-03-09,"{""address"": ""Street 75, City 47"", ""phone"": ""9990817733"", ""email"": ""email_363@example.com""}",Marketing,3015.0
45,Name_700,,60000,2017-10-26,"{""address"": ""Street 6, City 17"", ""phone"": ""1423231107"", ""email"": ""email_303@example.com""}",Marketing,
46,Name_976,63.0,70000,2016-10-08,"{""address"": ""Street 56, City 38"", ""phone"": ""3406353127"", ""email"": ""email_941@example.com""}",Finance,7285.0
47,Name_783,28.0,,2025-06-19,"{""address"": ""Street 15, City 47"", ""phone"": ""2090105289"", ""email"": ""email_168@example.com""}",Marketing,6054.0
48,Name_190,72.0,50000,2024-05-04,"{""address"": ""Street 100, City 5"", ""phone"": ""4731096946"", ""email"": ""email_390@example.com""}",IT,5878.0
49,Name_958,60.0,70000,2021-08-09,"{""address"": ""Street 40, City 37"", ""phone"": ""7677709443"", ""email"": ""email_979@example.com""}",Marketing,5681.0
50,Name_687,34.0,50000,2016-07-16,"{""address"": ""Street 86, City 28"", ""phone"": ""5818921917"", ""email"": ""email_4@example.com""}",,5491.0
51,Name_958,53.0,70000,2022-02-06,"{""address"": ""Street 44, City 16"", ""phone"": ""5829544078"", ""email"": ""email_323@example.com""}",Marketing,3410.0
